,y
0,10.231539
1,9.938201
2,8.253026
3,7.517274
4,10.002064
5,7.0347157
6,11.434292
7,7.598376
8,9.898311
9,7.2355146
10,9.151524
11,8.671706
12,9.412366
13,8.689894
14,6.74883
15,6.9263573
16,8.465874
17,10.108009
18,9.844239
19,9.601535
20,7.502228
21,6.2857747
22,7.4208484
23,7.9737334
24,10.540408
25,11.369512
26,7.8578434
27,11.298784
28,11.394108
29,8.824195
30,7.7570252
31,7.0401053
32,7.383438
33,10.22379
34,7.7800817
35,7.07167
36,9.820429
37,9.357194
38,10.970219
39,10.873323
40,11.068485
41,7.446183
42,8.386946
43,9.852728
44,7.1971393
45,10.798606
46,8.014432
47,9.212313
48,8.34703
49,7.27653
50,7.648495
51,5.327377
52,8.858749
53,8.244127
54,9.207243
55,7.1959305
56,10.184608
57,8.827557
58,7.8831058
59,7.549365
60,8.467552
61,10.5877905
62,10.39159
63,6.7153673
64,7.3244567
65,6.8934326
66,10.3694105
67,7.091611
68,10.260578
69,10.06145
70,10.358933
71,7.306452
72,9.107993
73,7.604758
74,9.726233
75,7.785431
76,7.3887687
77,8.344277
78,6.21748
79,11.4091625
80,8.092091
81,8.215717
82,7.694329
83,9.076241
84,9.759115
85,6.186837
86,8.186607
87,10.026719
88,10.985716
89,6.2778053
90,9.234003
91,10.556746
92,6.8656964
93,6.646643
94,7.606171
95,8.893724
96,10.304952
97,8.54765
98,7.958005
99,7.5815897
