,0
0,FINISHED
1,FINISHED
2,FINISHED
3,FINISHED
4,FINISHED
5,FINISHED
6,FINISHED
7,FINISHED
8,FINISHED
9,FINISHED
10,FINISHED
11,FINISHED
12,FINISHED
13,FINISHED
14,FINISHED
15,FINISHED
16,FINISHED
17,FINISHED
18,FINISHED
19,FINISHED
20,FINISHED
21,FINISHED
22,FINISHED
23,FINISHED
24,FINISHED
25,FINISHED
26,FINISHED
27,FINISHED
28,FINISHED
29,FINISHED
30,FINISHED
31,FINISHED
32,FINISHED
33,FINISHED
34,FINISHED
35,FINISHED
36,FINISHED
37,FINISHED
38,FINISHED
39,FINISHED
40,FINISHED
41,FINISHED
42,FINISHED
43,FINISHED
44,FINISHED
45,FINISHED
46,FINISHED
47,FINISHED
48,FINISHED
49,FINISHED
