,fold,candidate
0,0,constant
1,1,constant
2,2,constant
3,3,constant
4,4,constant
5,5,constant
6,6,constant
7,7,constant
8,8,constant
9,9,constant
10,10,constant
11,11,constant
12,12,constant
13,13,constant
14,14,constant
15,15,constant
16,16,constant
17,17,constant
18,18,constant
19,19,constant
20,20,constant
21,21,constant
22,22,constant
23,23,constant
24,24,constant
25,25,constant
26,26,constant
27,27,constant
28,28,constant
29,29,constant
30,30,constant
31,31,constant
32,32,constant
33,33,constant
34,34,constant
35,35,constant
36,36,constant
37,37,constant
38,38,constant
39,39,constant
40,40,constant
41,41,constant
42,42,constant
43,43,constant
44,44,constant
45,45,constant
46,46,constant
47,47,constant
48,48,constant
49,49,constant
50,0,powerlaw
51,1,powerlaw
52,2,powerlaw
53,3,powerlaw
54,4,powerlaw
55,5,powerlaw
56,6,powerlaw
57,7,powerlaw
58,8,powerlaw
59,9,powerlaw
60,10,powerlaw
61,11,powerlaw
62,12,powerlaw
63,13,powerlaw
64,14,powerlaw
65,15,powerlaw
66,16,powerlaw
67,17,powerlaw
68,18,powerlaw
69,19,powerlaw
70,20,powerlaw
71,21,powerlaw
72,22,powerlaw
73,23,powerlaw
74,24,powerlaw
75,25,powerlaw
76,26,powerlaw
77,27,powerlaw
78,28,powerlaw
79,29,powerlaw
80,30,powerlaw
81,31,powerlaw
82,32,powerlaw
83,33,powerlaw
84,34,powerlaw
85,35,powerlaw
86,36,powerlaw
87,37,powerlaw
88,38,powerlaw
89,39,powerlaw
90,40,powerlaw
91,41,powerlaw
92,42,powerlaw
93,43,powerlaw
94,44,powerlaw
95,45,powerlaw
96,46,powerlaw
97,47,powerlaw
98,48,powerlaw
99,49,powerlaw
100,0,proportional
101,1,proportional
102,2,proportional
103,3,proportional
104,4,proportional
105,5,proportional
106,6,proportional
107,7,proportional
108,8,proportional
109,9,proportional
110,10,proportional
111,11,proportional
112,12,proportional
113,13,proportional
114,14,proportional
115,15,proportional
116,16,proportional
117,17,proportional
118,18,proportional
119,19,proportional
120,20,proportional
121,21,proportional
122,22,proportional
123,23,proportional
124,24,proportional
125,25,proportional
126,26,proportional
127,27,proportional
128,28,proportional
129,29,proportional
130,30,proportional
131,31,proportional
132,32,proportional
133,33,proportional
134,34,proportional
135,35,proportional
136,36,proportional
137,37,proportional
138,38,proportional
139,39,proportional
140,40,proportional
141,41,proportional
142,42,proportional
143,43,proportional
144,44,proportional
145,45,proportional
146,46,proportional
147,47,proportional
148,48,proportional
149,49,proportional
