,fold,candidate
0,0,constant
1,1,constant
2,2,constant
3,3,constant
4,4,constant
5,5,constant
6,6,constant
7,7,constant
8,8,constant
9,9,constant
10,10,constant
11,11,constant
12,12,constant
13,13,constant
14,14,constant
15,15,constant
16,16,constant
17,17,constant
18,18,constant
19,19,constant
20,20,constant
21,21,constant
22,22,constant
23,23,constant
24,24,constant
25,25,constant
26,26,constant
27,27,constant
28,28,constant
29,29,constant
30,30,constant
31,31,constant
32,32,constant
33,33,constant
34,34,constant
35,35,constant
36,36,constant
37,37,constant
38,38,constant
39,39,constant
40,40,constant
41,41,constant
42,42,constant
43,43,constant
44,44,constant
45,45,constant
46,46,constant
47,47,constant
48,48,constant
49,49,constant
50,0,linear
51,1,linear
52,2,linear
53,3,linear
54,4,linear
55,5,linear
56,6,linear
57,7,linear
58,8,linear
59,9,linear
60,10,linear
61,11,linear
62,12,linear
63,13,linear
64,14,linear
65,15,linear
66,16,linear
67,17,linear
68,18,linear
69,19,linear
70,20,linear
71,21,linear
72,22,linear
73,23,linear
74,24,linear
75,25,linear
76,26,linear
77,27,linear
78,28,linear
79,29,linear
80,30,linear
81,31,linear
82,32,linear
83,33,linear
84,34,linear
85,35,linear
86,36,linear
87,37,linear
88,38,linear
89,39,linear
90,40,linear
91,41,linear
92,42,linear
93,43,linear
94,44,linear
95,45,linear
96,46,linear
97,47,linear
98,48,linear
99,49,linear
100,0,powerlaw
101,1,powerlaw
102,2,powerlaw
103,3,powerlaw
104,4,powerlaw
105,5,powerlaw
106,6,powerlaw
107,7,powerlaw
108,8,powerlaw
109,9,powerlaw
110,10,powerlaw
111,11,powerlaw
112,12,powerlaw
113,13,powerlaw
114,14,powerlaw
115,15,powerlaw
116,16,powerlaw
117,17,powerlaw
118,18,powerlaw
119,19,powerlaw
120,20,powerlaw
121,21,powerlaw
122,22,powerlaw
123,23,powerlaw
124,24,powerlaw
125,25,powerlaw
126,26,powerlaw
127,27,powerlaw
128,28,powerlaw
129,29,powerlaw
130,30,powerlaw
131,31,powerlaw
132,32,powerlaw
133,33,powerlaw
134,34,powerlaw
135,35,powerlaw
136,36,powerlaw
137,37,powerlaw
138,38,powerlaw
139,39,powerlaw
140,40,powerlaw
141,41,powerlaw
142,42,powerlaw
143,43,powerlaw
144,44,powerlaw
145,45,powerlaw
146,46,powerlaw
147,47,powerlaw
148,48,powerlaw
149,49,powerlaw
150,0,proportional
151,1,proportional
152,2,proportional
153,3,proportional
154,4,proportional
155,5,proportional
156,6,proportional
157,7,proportional
158,8,proportional
159,9,proportional
160,10,proportional
161,11,proportional
162,12,proportional
163,13,proportional
164,14,proportional
165,15,proportional
166,16,proportional
167,17,proportional
168,18,proportional
169,19,proportional
170,20,proportional
171,21,proportional
172,22,proportional
173,23,proportional
174,24,proportional
175,25,proportional
176,26,proportional
177,27,proportional
178,28,proportional
179,29,proportional
180,30,proportional
181,31,proportional
182,32,proportional
183,33,proportional
184,34,proportional
185,35,proportional
186,36,proportional
187,37,proportional
188,38,proportional
189,39,proportional
190,40,proportional
191,41,proportional
192,42,proportional
193,43,proportional
194,44,proportional
195,45,proportional
196,46,proportional
197,47,proportional
198,48,proportional
199,49,proportional
200,0,additive_proportional
201,1,additive_proportional
202,2,additive_proportional
203,3,additive_proportional
204,4,additive_proportional
205,5,additive_proportional
206,6,additive_proportional
207,7,additive_proportional
208,8,additive_proportional
209,9,additive_proportional
210,10,additive_proportional
211,11,additive_proportional
212,12,additive_proportional
213,13,additive_proportional
214,14,additive_proportional
215,15,additive_proportional
216,16,additive_proportional
217,17,additive_proportional
218,18,additive_proportional
219,19,additive_proportional
220,20,additive_proportional
221,21,additive_proportional
222,22,additive_proportional
223,23,additive_proportional
224,24,additive_proportional
225,25,additive_proportional
226,26,additive_proportional
227,27,additive_proportional
228,28,additive_proportional
229,29,additive_proportional
230,30,additive_proportional
231,31,additive_proportional
232,32,additive_proportional
233,33,additive_proportional
234,34,additive_proportional
235,35,additive_proportional
236,36,additive_proportional
237,37,additive_proportional
238,38,additive_proportional
239,39,additive_proportional
240,40,additive_proportional
241,41,additive_proportional
242,42,additive_proportional
243,43,additive_proportional
244,44,additive_proportional
245,45,additive_proportional
246,46,additive_proportional
247,47,additive_proportional
248,48,additive_proportional
249,49,additive_proportional
